X;Y;osm_id;name;type;type_fr;statut;ref_uai;wikidata;com_insee;com_nom
4.8544188;45.7468695003799;node/10075846802;Crèche Blandan;kindergarten;;;;;"69123";Lyon
4.8692917;45.7577470003784;node/10126380883;L'Arc en ciel;kindergarten;;association;;;"69123";Lyon
4.8756458;45.7331359003818;node/10127767102;Crèche André Roux;kindergarten;;;;;"69123";Lyon
4.8776588;45.7359741003815;node/10128104663;La Fourmi;school;;;;;"69123";Lyon
4.8657296;45.7564448003786;node/10159313320;CREAD École d'Architecture Intérieure;college;;private;;;"69123";Lyon
4.8539854;45.7333968003818;node/10169961609;Crèche les copains d'abord;kindergarten;;;;;"69123";Lyon
4.8712035;45.7399135003809;node/10171906417;centre de formation;school;;;;;"69123";Lyon
4.8509323;45.7579329003784;node/1035630764;Crèche Boileau;kindergarten;;;;;"69123";Lyon
4.8217642;45.7524104003792;node/1275874296;Les P'Tits Malins;kindergarten;;;;;"69123";Lyon
4.8678952;45.7476542003798;node/1346757506;Groupe ACPPA - Les cristallines;kindergarten;;;;;"69123";Lyon
4.8687482;45.7505852003794;node/1346757517;Crèche Collective Montbrillant;kindergarten;;;;;"69123";Lyon
4.8714225;45.7542783003789;node/1346757518;Crèche Pain d'Épices;kindergarten;;;;;"69123";Lyon
4.8507446;45.7575365003784;node/1384687173;École maternelle Étienne Dolet;school;maternelle;public;0691058A;;"69123";Lyon
4.8262171;45.760772500378;node/1425774740;Collège privé Aux Lazaristes;school;collège;private;0692920Z;;"69123";Lyon
4.8296495;45.7781768003755;node/1488252419;Halte Garderie des Canuts;kindergarten;;;;;"69123";Lyon
4.8813207;45.7514807003793;node/1493628672;Les Montchatons Acacias;kindergarten;;;;;"69123";Lyon
4.8866952;45.7349297003816;node/1545763048;École maternelle Jean Mermoz A;school;maternelle;public;0691162N;;"69123";Lyon
4.8862875;45.7349409003816;node/1545763508;Crèche municipale Ranvier;kindergarten;;;;;"69123";Lyon
4.8622826;45.7474229003798;node/1614261813;Les studios Lumières;university;;;;;"69123";Lyon
4.8233863;45.7781126003755;node/1798091739;Crèche Popy;kindergarten;;;;;"69123";Lyon
4.8358256;45.7302579003823;node/1836397828;École de reconversion professionnelle Georges Guynemer;college;;public;0693500E;;"69123";Lyon
4.8369052;45.7363670003814;node/1839782820;École professionnelle privée Ifosupd;school;lycée;private;0693368L;;"69123";Lyon
4.8275489;45.732377000382;node/1839783232;École maternelle;school;maternelle;public;0691177E;;"69123";Lyon
4.8325029;45.7645721003774;node/1872877280;École privée mixte Saint-Nizier-Tour-Pitrat;school;primaire;private;0691984G;;"69123";Lyon
4.8552157;45.7645912003774;node/1954994807;Crêche Masséna;kindergarten;;;;;"69123";Lyon
4.8250231;45.7354687003815;node/1966350185;École maternelle Marcel Pagnol;school;maternelle;public;0692387V;;"69123";Lyon
4.8547305;45.7347397003816;node/1973468458;École maternelle Philibert Delorme;school;maternelle;public;0691172Z;;"69123";Lyon
4.8537957;45.7346644003816;node/1973468459;École élémentaire Philibert Delorme;school;élémentaire;public;0693838X;;"69123";Lyon
4.8692948;45.7416161003807;node/2003488747;École primaire publique Simone Signoret;school;primaire;public;0693955Z;;"69123";Lyon
4.8705227;45.7447199003802;node/2003488757;École maternelle Lumière;school;maternelle;;0693635B;;"69123";Lyon
4.8737468;45.739170400381;node/2003488760;École maternelle Maryse Bastié;school;maternelle;public;0692600B;;"69123";Lyon
4.8698826;45.7448485003802;node/2003488776;École primaire Lumière;school;primaire;public;0693636C;;"69123";Lyon
4.8769782;45.7343613003817;node/2003488786;École primaire privée Junior School International;school;collège;private;0693360C;;"69123";Lyon
4.832794;45.7374966003812;node/2016891614;École privée Notre-Dame des Anges;school;élémentaire;private;0691900R;;"69123";Lyon
4.8250951;45.7355673003815;node/2016892690;École élémentaire Marcel Pagnol;school;élémentaire;public;0692384S;;"69123";Lyon
4.8576783;45.74606450038;node/2029198508;Section d'enseignement professionnel du Lycée polyvalent Hector Guimard;school;lycée;public;0693487R;;"69123";Lyon
