X;Y;osm_id;type;name;operator;emergency;wheelchair;opening_hours;ref_finess;type_finess;ref_naf;capacity;for_public;ref_siret;phone;com_insee;com_nom
4.8228613;45.7410037003808;node/10078352508;doctors;Espace Santé Confluence;AST Grand Lyon;;;;;;;;;;;"69123";Lyon
4.8736576;45.7554965003787;node/10126413102;dentist;;;;;"Mo,We 09:00-18:45; Tu 09:00-13:00; Th 09:00-18:00; Fr,Su off; Sa 09:00-15:00";;;;;;;;"69123";Lyon
4.8761663;45.7567563003785;node/10126449462;clinic;Cabinet d'infirmier des Maisons Neuves;;;;;;;;;;;;"69123";Lyon
4.8760065;45.7332707003818;node/10127986031;doctors;Physio Mermoz;;;;;;;;;;;"+33982265990";"69123";Lyon
4.8740606;45.7328700003819;node/10128014736;doctors;Centre Médico-Psychologique Maryse Bastié;;;;;;;;;;;;"69123";Lyon
4.8743369;45.7329328003819;node/10128014737;doctors;Renaud Zimmermann;;;;;;;;;;;;"69123";Lyon
4.8736516;45.7332857003818;node/10128014738;doctors;Pascal Bouteldja;;;;;;;;;;;;"69123";Lyon
4.8838359;45.7327287003819;node/10128149378;doctors;Laurent Chapuis;;;;;;;;;;;;"69123";Lyon
4.8528767;45.7367903003813;node/10178669537;pharmacy;;;;;;;;;;;;;"69123";Lyon
4.8532122;45.7345038003817;node/10178670632;dentist;Laboratoire Protheses Dentaires V.Ceccarelli;;;;;;;;;;;;"69123";Lyon
4.8527435;45.7371049003813;node/10178677043;clinic;Cabinet infirmier G.Dubois/M.Radovic;;;;"""7J/7 sur RDV""";;;;;;;;"69123";Lyon
4.8538358;45.7341922003817;node/10178682559;clinic;Cabinet Infirmier;;;;;;;;;;;;"69123";Lyon
4.8073502;45.7785464003754;node/1151275920;pharmacy;Pharmacie de la gare d'eau;;;;"Mo-Su,PH 08:00-19:30";"690022652";;;;;"33977614800019";+33 4 78 83 79 69;"69123";Lyon
4.8435577;45.7477004003798;node/1361320009;pharmacy;Pharmacie Jean Macé;;;yes;"Mo-Fr 08:30-19:15; Sa 08:30-12:30";"690021571";;;;;"51398320500016";+33 4 78 72 44 33;"69123";Lyon
4.8080562;45.7858503003744;node/1364627184;pharmacy;Pharmacie du 9e;;;;;"690022702";;;;;"81867205700010";+33 4 78 83 71 33;"69123";Lyon
4.8448324;45.7505966003794;node/1383283903;pharmacy;Pharmacie Saint-Louis;;;yes;"Mo 14:00-19:30, Tu-Sa 08:45-12:30, Tu-Fr 14:00-19:45";"690021555";;;;;"49030568700017";+33 4 78 72 36 79;"69123";Lyon
