X;Y;osm_id;type;name;brand;operator;wheelchair;opening_hours;level;siret;profession_ref;wikidata;website;phone;email;facebook;address;com_insee;com_nom;last_update
4.8446149;45.7685340003769;node/10000691913;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;;"69123";Lyon;2022-09-04
4.8484687;45.7712079003765;node/10000729225;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;69 Rue Sully;"69123";Lyon;2022-09-04
4.8692027;45.7367794003813;node/10000764234;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;9 Place du 11 Novembre 1918;"69123";Lyon;2022-09-05
4.8773895;45.7285764003825;node/10001895040;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;101 Avenue Paul Santy;"69123";Lyon;2022-09-05
4.8704259;45.7435496003804;node/10003153096;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;5 Rue Antoine Lumière;"69123";Lyon;2022-09-05
4.8854223;45.7308692003822;node/10003179627;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;11 B Place André Latarjet;"69123";Lyon;2022-09-05
4.8532761;45.7364981003814;node/10003179629;bank;La Banque Postale;La Banque Postale;;yes;"Mo-Th,Sa 09:00-12:00";;;;Q3206431;;;;;11 Rue Antoine Fonlupt;"69123";Lyon;2022-11-10
4.8628995;45.7275310003826;node/10003192431;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;163 Rue du Professeur Beauvisage;"69123";Lyon;2022-09-05
4.8324288;45.7543060003789;node/10004655906;restaurant;Più Tigeleria;;;;"Mo-We 10:00-19:00; Th-Sa 10:00-21:00";;;;;;+33 4 78 42 09 82;;;9 Rue de la Charité;"69123";Lyon;2022-09-06
4.835004;45.7759280003758;node/10004696642;restaurant;Alebrije;;;;;;;;;https://alebrijelyon.fr/;+33 4 72 00 03 02;;;1 Rue Justin Godart;"69123";Lyon;2022-09-06
4.8298054;45.7307288003822;node/10005349544;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;15 Rue Jacques Monod;"69123";Lyon;2022-09-06
4.8390689;45.7459787003801;node/10007390244;bank;La Banque Postale;La Banque Postale;;;"Mo,Tu,Fr,Sa 09:00-12:00,14:00-18:00, We 14:00-18:00, Th 09:00-12:00,14:00-18:00, Sa 09:00-12:00";;;;Q3206431;;;;;44 Avenue Berthelot;"69123";Lyon;2022-11-11
4.8127219;45.7578375003784;node/10007558442;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;3 Place de Trion;"69123";Lyon;2022-09-07
4.8521023;45.7519616003792;node/10008230391;clothes;La boutique de l'entraide;;;;;;;;;https://www.entraideprotestantedelyon.fr/poles/la-boutique-de-lentraide/;+33 4 72 72 92 08;secretariat@entraide-lyon.com;;88 Cours Gambetta;"69123";Lyon;2022-09-08
4.8409227;45.7574517003784;node/10008282346;bicycle;Holland Bikes;;;;"Tu-Fr 15:00-19:00; Sa 12:00-19:00";;;;;https://www.hollandbikes.com/content/131-magasin-de-velo-holland-bikes-lyon;+33 4 72 04 22 49;lyon@hollandbikes.com;;28 Quai Victor Augagneur;"69123";Lyon;2022-09-12
4.7963434;45.7718822003764;node/10012136261;car_repair;Garage de l'Europe;;;;;;;;;;;;;;"69123";Lyon;2022-09-09
4.8565029;45.7634859003776;node/10012473122;bank;La Banque Postale;La Banque Postale;;;"Mo,We-Fr 09:00-13:00,14:00-18:00; Tu 09:00-12:00,14:00-18:00; Sa 09:00-12:00";;;;Q3206431;;;;;168 Cours Lafayette;"69123";Lyon;2022-11-08
4.886935;45.7498774003795;node/10012480650;bank;La Banque Postale;La Banque Postale;la banque postale;;;;;;Q3206431;;;;;3 Cours Eugénie;"69123";Lyon;2022-09-10
4.8183668;45.7421950003806;node/10012518774;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;;"69123";Lyon;2022-09-10
4.8340596;45.7559011003787;node/10013367252;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;10 Place Antonin Poncet;"69123";Lyon;2022-09-10
4.8345195;45.7664615003771;node/10013613016;bank;La Banque Postale;La Banque Postale;;;;;;;Q3206431;;;;;7 Rue du Président Édouard Herriot;"69123";Lyon;2022-09-10
4.8280017;45.7649463003774;node/10013710719;restaurant;Les fines gueules;;;;;;;;;;+33 478289914;;;16 Rue Lainerie;"69123";Lyon;2022-09-30
4.8508261;45.7569563003785;node/10016347437;bakery;Canaille & Pétrin;;;;;;;;;;;;;;"69123";Lyon;2022-09-11
4.8549331;45.7671843003771;node/10020432677;photographer;Novidia Studio;;Guillaume Raulet;;24/7;;;;;https://www.novidia-studio.fr;"+33614805451";;;127 Rue Bugeaud;"69123";Lyon;2022-09-13
4.8376769;45.753241100379;node/10033149681;restaurant;Botani;;;;Tu-Sa 12:00-00:30;;;;;;+33 4 37 70 77 95;;;;"69123";Lyon;2022-09-19
4.8070911;45.7805105003752;node/10035773122;houseware;Baralinge;;;;"Tu-Fr 10:00-13:00,14:00-19:00; Sa 10:00-12:00,14:00-19:00";;;;;;;;;;"69123";Lyon;2022-10-01
4.8351053;45.7620799003778;node/10036703695;fast_food;Culina in Via;;;;Tu-Sa 12:00-18:00;;;;;;;;;;"69123";Lyon;2022-09-19
4.8511153;45.7475637003798;node/10042684237;baby_goods;Bébé 9;;;;;;;;;;;;;;"69123";Lyon;2022-09-21
4.8696162;45.7638452003775;node/10043733593;restaurant;Haru Sushi Bar;;;;"Mo 18:00-22:00; Tu-Th 11:30-14:30,18:00-22:00; Fr-Sa 11:30-14:30,18:00-22:30";;"90069109800017";;;https://www.harusushibar.fr/;"+33766133701";harusushi8888@gmail.com;https://www.facebook.com/harusushilafayette;305 Cours Lafayette;"69123";Lyon;2022-09-22
4.8450802;45.7594830003782;node/10044356583;bicycle;Les ateliers de l'audace;;;yes;"Mo-Sa 10:00-14:00,15:00-19:00";;;;;https://www.ateliersdelaudace.fr/;"+33624888353";;;Rue de la Part-Dieu;"69123";Lyon;2022-09-22
4.8275832;45.774566100376;node/10056222330;bar;;;;;;;;;;;;;;;"69123";Lyon;2022-09-27
4.8470795;45.7493853003796;node/10058218495;car_repair;France Pare-Brise;France Pare-Brise;;;;;;;Q63335107;;;;;;"69123";Lyon;2022-09-28
4.8048642;45.7795005003753;node/10060175949;convenience;Saveur d'ailleurs (Afrique et outre-mer);;;;Mo-Su 10:30-19:00;;;;;;;;;32 Rue de la Claire;"69123";Lyon;2022-10-07
4.8429921;45.7591646003782;node/10064619174;restaurant;Copain comme Canard;;;;;;;;;;;;;22 Rue de la Part-Dieu;"69123";Lyon;2022-09-30
