,name,link,line,city
0,Perrache,"http://maps.google.fr/?q=45.749554,4.826965",A,lyon
1,Ampère – Victor-Hugo,"http://maps.google.fr/?q=45.753161,4.829232",A,lyon
2,Bellecour,"http://maps.google.fr/?q=45.757542,4.832928",A,lyon
3,Cordeliers,"http://maps.google.fr/?q=45.763393,4.835816",A,lyon
4,Hôtel de Ville – Louis-Pradel,"https://maps.google.fr/?q=45.767785,4.836012",A,lyon
5,Foch,"http://maps.google.fr/?q=45.768771,4.844525",A,lyon
6,Masséna,"http://maps.google.fr/?q=45.769572,4.853208",A,lyon
7,Charpennes – Charles-Hernu,"http://maps.google.fr/?q=45.770453,4.863397",A,lyon
8,République – Villeurbanne,"http://maps.google.fr/?q=45.770558,4.873660",A,lyon
9,Gratte-Ciel,"http://maps.google.fr/?q=45.769029,4.882197",A,lyon
10,Flachet – Alain Gilles,"http://maps.google.fr/?q=45.767617,4.889849",A,lyon
11,Cusset,"http://maps.google.fr/?q=45.765661,4.900415",A,lyon
12,Laurent-Bonnevay – Astroballe,"http://maps.google.fr/?q=45.764118,4.908764",A,lyon
13,Vaulx-en-Velin – La Soie,"http://maps.google.fr/?q=45.761230,4.921923",A,lyon
