,name,link,line,city
0,Charpennes – Charles-Hernu,"http://maps.google.fr/?q=45.770453,4.863397",B,lyon
1,Brotteaux,"http://maps.google.fr/?q=45.767025,4.859412",B,lyon
2,Part-Dieu – Gare SNCF,"http://maps.google.fr/?q=45.761721,4.857851",B,lyon
3,Place Guichard – Bourse du Travail,"http://maps.google.fr/?q=45.759217,4.847385",B,lyon
4,Saxe – Gambetta,"http://maps.google.fr/?q=45.753799,4.846988",B,lyon
5,Jean-Macé,"http://maps.google.fr/?q=45.746376,4.842530",B,lyon
6,Place Jean-Jaurès,"http://maps.google.fr/?q=45.737541,4.837294",B,lyon
7,Debourg,"http://maps.google.fr/?q=45.731075,4.833453",B,lyon
8,Stade de Gerland,"http://maps.google.fr/?q=45.726637,4.830819",B,lyon
9,Gare d’Oullins,"http://maps.google.fr/?q=45.716683,4.814624",B,lyon
