,name,link,line,city
0,Gare de Vaise,"http://maps.google.fr/?q=45.780383,4.804410",D,lyon
1,Valmy,"http://maps.google.fr/?q=45.774588,4.805569",D,lyon
2,Gorge de Loup,"http://maps.google.fr/?q=45.766382,4.805376",D,lyon
3,Vieux Lyon – Cathédrale Saint-Jean,"https://maps.google.fr/?q=45.759963,4.826388",D,lyon
4,Bellecour,"http://maps.google.fr/?q=45.757542,4.832928",D,lyon
5,Guillotière – Gabriel-Péri,"http://maps.google.fr/?q=45.755306,4.842916",D,lyon
6,Saxe – Gambetta,"http://maps.google.fr/?q=45.753799,4.846988",D,lyon
7,Garibaldi,"http://maps.google.fr/?q=45.751594,4.853693",D,lyon
8,Sans-Souci,"http://maps.google.fr/?q=45.747627,4.865189",D,lyon
9,Monplaisir – Lumière,"http://maps.google.fr/?q=45.745395,4.871728",D,lyon
10,Grange Blanche,"http://maps.google.fr/?q=45.742938,4.878842",D,lyon
11,Laënnec,"http://maps.google.fr/?q=45.738574,4.886384",D,lyon
12,Mermoz – Pinel,"http://maps.google.fr/?q=45.730670,4.887355",D,lyon
13,Parilly,"http://maps.google.fr/?q=45.719525,4.887497",D,lyon
14,Gare de Vénissieux,"http://maps.google.fr/?q=45.705363,4.887940",D,lyon
