,name,link,line,city
0,Debourg,"http://maps.google.fr/?q=45.731075,4.833453",T1,lyon
1,ENS Lyon,"http://maps.google.fr/?q=45.731417,4.828896",T1,lyon
2,Halle Tony Garnier,"http://maps.google.fr/?q=45.731736,4.823099",T1,lyon
3,Musée des Confluences,"http://maps.google.fr/?q=45.733698,4.818668",T1,lyon
4,Hôtel de Région – Montrochet,"http://maps.google.fr/?q=45.740604,4.819023",T1,lyon
5,Sainte-Blandine,"http://maps.google.fr/?q=45.744213,4.822116",T1,lyon
6,Place des Archives,"http://maps.google.fr/?q=45.747144,4.824597",T1,lyon
7,Perrache,"http://maps.google.fr/?q=45.749554,4.826965",T1,lyon
8,Quai Claude-Bernard,"http://maps.google.fr/?q=45.749655,4.835261",T1,lyon
9,Rue de l’Université,"http://maps.google.fr/?q=45.751153,4.838989",T1,lyon
10,Saint-André,"http://maps.google.fr/?q=45.752901,4.840998",T1,lyon
11,Guillotière – Gabriel-Péri,"http://maps.google.fr/?q=45.755306,4.842916",T1,lyon
12,Liberté,"http://maps.google.fr/?q=45.758880,4.842474",T1,lyon
13,Saxe – Préfecture,"http://maps.google.fr/?q=45.760123,4.845212",T1,lyon
14,Palais de Justice – Maire du 3<sup>e</sup>,"http://maps.google.fr/?q=45.760340,4.848431",T1,lyon
15,Part-Dieu – Auditorium,"http://maps.google.fr/?q=45.760708,4.853801",T1,lyon
16,Gare Part-Dieu – Vivier-Merle,"http://maps.google.fr/?q=45.761721,4.857851",T1,lyon
17,Thiers – Lafayette,"http://maps.google.fr/?q=45.764314,4.862030",T1,lyon
18,Collège Bellecombe,"http://maps.google.fr/?q=45.766660,4.861920",T1,lyon
19,Charpennes – Charles-Hernu,"http://maps.google.fr/?q=45.770453,4.863397",T1,lyon
20,Le Tonkin,"http://maps.google.fr/?q=45.774084,4.864049",T1,lyon
21,Condorcet,"http://maps.google.fr/?q=45.777940,4.866919",T1,lyon
22,Université Lyon 1,"http://maps.google.fr/?q=45.780873,4.866297",T1,lyon
23,La Doua – Gaston-Berger,"http://maps.google.fr/?q=45.781522,4.872096",T1,lyon
24,INSA – Einstein,"http://maps.google.fr/?q=45.782450,4.877629",T1,lyon
25,Croix Luizet,"http://maps.google.fr/?q=45.783686,4.883165",T1,lyon
26,IUT – Feyssine,"http://maps.google.fr/?q=45.786877,4.881932",T1,lyon
