,Unnamed: 0,name,link,line,city
0,0,Hôtel de Région – Montrochet,"http://maps.google.fr/?q=45.740604,4.819023",T2,lyon
1,1,Sainte-Blandine,"http://maps.google.fr/?q=45.744213,4.822116",T2,lyon
2,2,Place des Archives,"http://maps.google.fr/?q=45.747144,4.824597",T2,lyon
3,3,Perrache,"http://maps.google.fr/?q=45.749554,4.826965",T2,lyon
4,4,Centre Berthelot – Sciences Po Lyon,"http://maps.google.fr/?q=45.747056,4.836302",T2,lyon
5,5,Jean-Macé,"http://maps.google.fr/?q=45.746376,4.842530",T2,lyon
6,6,Garibaldi – Berthelot,"http://maps.google.fr/?q=45.743679,4.846905",T2,lyon
7,7,Route de Vienne,"http://maps.google.fr/?q=45.742142,4.851668",T2,lyon
8,8,Jet d’Eau – Mendès-France,"http://maps.google.fr/?q=45.739885,4.858749",T2,lyon
9,9,Villon,"http://maps.google.fr/?q=45.738423,4.863314",T2,lyon
10,10,Bachut – Mairie du 8<sup>e</sup>,"http://maps.google.fr/?q=45.736845,4.868215",T2,lyon
11,11,Jean-XXIII – Maryse-Bastié,"http://maps.google.fr/?q=45.740199,4.874499",T2,lyon
12,12,Grange Blanche,"http://maps.google.fr/?q=45.742938,4.878842",T2,lyon
13,13,Ambroise-Paré,"http://maps.google.fr/?q=45.741523,4.883927",T2,lyon
14,14,Desgenettes,"http://maps.google.fr/?q=45.738853,4.893205",T2,lyon
15,15,Essarts – Iris,"http://maps.google.fr/?q=45.737228,4.898140",T2,lyon
16,16,Boutasse – Camille-Rousset,"http://maps.google.fr/?q=45.734931,4.904462",T2,lyon
17,17,Hôtel de Ville – Bron,"http://maps.google.fr/?q=45.733411,4.909062",T2,lyon
18,18,Les Alizés,"http://maps.google.fr/?q=45.731539,4.914727",T2,lyon
19,19,Rebufer,"http://maps.google.fr/?q=45.727502,4.915666",T2,lyon
20,20,Parilly – Université – Hippodrome,"http://maps.google.fr/?q=45.722095,4.915247",T2,lyon
21,21,Europe – Université,"http://maps.google.fr/?q=45.719625,4.918174",T2,lyon
22,22,Porte des Alpes,"http://maps.google.fr/?q=45.718392,4.925783",T2,lyon
23,23,Parc Technologique,"http://maps.google.fr/?q=45.714381,4.931244",T2,lyon
24,24,Hauts de Feuilly,"http://maps.google.fr/?q=45.708118,4.937586",T2,lyon
25,25,Salvador-Allende,"http://maps.google.fr/?q=45.703413,4.934916",T2,lyon
26,26,Alfred-de-Vigny,"http://maps.google.fr/?q=45.699629,4.936104",T2,lyon
27,27,Saint-Priest – Hôtel de Ville,"http://maps.google.fr/?q=45.695061,4.936856",T2,lyon
28,28,Esplanade des Arts,"http://maps.google.fr/?q=45.694491,4.940622",T2,lyon
29,29,Jules-Ferry,"http://maps.google.fr/?q=45.694734,4.946832",T2,lyon
30,30,Cordière,"http://maps.google.fr/?q=45.693662,4.949730",T2,lyon
31,31,Saint-Priest – Bel Air,"http://maps.google.fr/?q=45.692661,4.955790",T2,lyon
