,longitude,latitude,name,category
0,4.826965,45.749554,Perrache,station_metro_A
1,4.829232,45.753161,Ampère – Victor-Hugo,station_metro_A
2,4.832928,45.757542,Bellecour,station_metro_A
3,4.835816,45.763393,Cordeliers,station_metro_A
4,4.836012,45.767785,Hôtel de Ville – Louis-Pradel,station_metro_A
5,4.844525,45.768771,Foch,station_metro_A
6,4.853208,45.769572,Masséna,station_metro_A
7,4.863397,45.770453,Charpennes – Charles-Hernu,station_metro_A
8,4.87366,45.770558,République – Villeurbanne,station_metro_A
9,4.882197,45.769029,Gratte-Ciel,station_metro_A
10,4.889849,45.767617,Flachet – Alain Gilles,station_metro_A
11,4.900415,45.765661,Cusset,station_metro_A
12,4.908764,45.764118,Laurent-Bonnevay – Astroballe,station_metro_A
13,4.921923,45.76123,Vaulx-en-Velin – La Soie,station_metro_A
