,longitude,latitude,name,category
0,4.863397,45.770453,Charpennes – Charles-Hernu,station_metro_B
1,4.859412,45.767025,Brotteaux,station_metro_B
2,4.857851,45.761721,Part-Dieu – Gare SNCF,station_metro_B
3,4.847385,45.759217,Place Guichard – Bourse du Travail,station_metro_B
4,4.846988,45.753799,Saxe – Gambetta,station_metro_B
5,4.84253,45.746376,Jean-Macé,station_metro_B
6,4.837294,45.737541,Place Jean-Jaurès,station_metro_B
7,4.833453,45.731075,Debourg,station_metro_B
8,4.830819,45.726637,Stade de Gerland,station_metro_B
9,4.814624,45.716683,Gare d’Oullins,station_metro_B
