,longitude,latitude,name,category
0,4.80441,45.780383,Gare de Vaise,station_metro_D
1,4.805569,45.774588,Valmy,station_metro_D
2,4.805376,45.766382,Gorge de Loup,station_metro_D
3,4.826388,45.759963,Vieux Lyon – Cathédrale Saint-Jean,station_metro_D
4,4.832928,45.757542,Bellecour,station_metro_D
5,4.842916,45.755306,Guillotière – Gabriel-Péri,station_metro_D
6,4.846988,45.753799,Saxe – Gambetta,station_metro_D
7,4.853693,45.751594,Garibaldi,station_metro_D
8,4.865189,45.747627,Sans-Souci,station_metro_D
9,4.871728,45.745395,Monplaisir – Lumière,station_metro_D
10,4.878842,45.742938,Grange Blanche,station_metro_D
11,4.886384,45.738574,Laënnec,station_metro_D
12,4.887355,45.73067,Mermoz – Pinel,station_metro_D
13,4.887497,45.719525,Parilly,station_metro_D
14,4.88794,45.705363,Gare de Vénissieux,station_metro_D
