,longitude,latitude,name,category
0,4.878842,45.742938,Grange Blanche,arret_tram_T5
1,4.883927,45.741523,Ambroise-Paré,arret_tram_T5
2,4.893205,45.738853,Desgenettes,arret_tram_T5
3,4.89814,45.737228,Essarts – Iris,arret_tram_T5
4,4.904462,45.734931,Boutasse – Camille-Rousset,arret_tram_T5
5,4.909062,45.733411,Hôtel de Ville – Bron,arret_tram_T5
6,4.914727,45.731539,Les Alizés,arret_tram_T5
7,4.916999,45.735725,De-Tassigny – Curial,arret_tram_T5
8,4.922213,45.738028,Lycée Jean-Paul Sartre,arret_tram_T5
9,4.926376,45.73899,Parc du Chêne,arret_tram_T5
10,4.948059,45.731895,Eurexpo,arret_tram_T5
